Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio
"Barrio Norte, Capital Federal",450000,ARS,158000,"Jerónimo Salguero 1800, Piso 5",40.0,,1 dorm.,,45,Barrio Norte
"Barrio Norte, Capital Federal",500000,ARS,90000,AV. SANTA FE al 1900 6°,40.0,,1 dorm.,,40,Barrio Norte
"Recoleta, Barrio Norte",750000,ARS,220000,Gallo 1100,45.0,,1 dorm.,,13,Recoleta
"Belgrano R, Belgrano",900000,ARS,189000,"Conde 1800, Piso 9",,,3 dorm.,1,50,Belgrano
"Palermo, Capital Federal",550000,ARS,,Laprida 1700,50.0,,1 dorm.,1,,Palermo
"Barrio Norte, Capital Federal",450000,ARS,85000,Riobamba al 900,35.0,,,1,10,Barrio Norte
"Villa Urquiza, Capital Federal",500000,ARS,75000,"Donado 1900, Piso 2",42.0,,1 dorm.,1,,Villa Urquiza
"Belgrano C, Belgrano",850000,ARS,310000,"Virrey loreto 2500, Piso 6",64.0,,2 dorm.,,70,Belgrano
"Retiro, Centro",550000,ARS,136000,Esmeralda 900,,,2 dorm.,1,55,Retiro
"Palermo Hollywood, Palermo",680000,ARS,135000,"Avenida Álvarez Thomas 100, Piso 5",56.0,,,1,7,Palermo
"Palermo, Capital Federal",750000,ARS,120000,Billinghurst 900,45.0,,1 dorm.,,50,Palermo
"Palermo, Capital Federal",500000,ARS,81000,MAURE al 2200,30.0,,1 dorm.,,37,Palermo
"Palermo, Capital Federal",850000,ARS,230000,"Aguero 1400, Piso 4",48.0,,1 dorm.,,2,Palermo
"Las Cañitas, Palermo",850000,ARS,240000,Jorge Newbery 1900,50.0,,1 dorm.,,15,Palermo
"Barrio Norte, Capital Federal",2000,USD,150000,JUNCAL 3100,90.0,,2 dorm.,,35,Barrio Norte
"Barrio Norte, Capital Federal",520000,ARS,86000,"Julián Álvarez 2400, Piso 8",50.0,,1 dorm.,,40,Barrio Norte
"Parque Rivadavia, Caballito",550000,ARS,65000,"Guayaquil 100, Piso 5",40.0,,1 dorm.,,50,Caballito
"Recoleta, Barrio Norte",700000,ARS,,"Arenales 2900, Piso 5",50.0,,1 dorm.,,50,Recoleta
"Urquiza R, Villa Urquiza",470000,ARS,180000,"Avenida Monroe 5300, Piso 6",33.0,,1 dorm.,,12,Villa Urquiza
"Belgrano, Capital Federal",500000,ARS,,Avda. Cabildo 2400,24.0,Monoam.,,1,,Belgrano
"Saavedra, Capital Federal",800000,ARS,110000,Correa 3000,106.0,,2 dorm.,,30,Saavedra
"Belgrano, Capital Federal",1100,USD,,Avenida Cabildo 500,,,2 dorm.,1,,Belgrano
"Villa Crespo, Capital Federal",1100000,ARS,360000,"Warnes 200, Piso 9/10",121.0,,3 dorm.,,30,Villa Crespo
"Caballito, Capital Federal",590000,ARS,,SENILLOSA al 400,40.0,,1 dorm.,,15,Caballito
"Barrio Norte, Capital Federal",850000,ARS,150000,AV. PUEYRREDON al 900 5°,77.0,,2 dorm.,,40,Barrio Norte
